"variable","class","glm_coef","glm_selected","ridge_coef","ridge_selected","lasso_coef","lasso_selected","elastic_coef","elastic_selected","Boruta"
"After chewing a fresh mint gum, I feel I can breathe better through my nose","1",NA,FALSE,0.105098269025596,TRUE,0.0833590899562712,TRUE,0.115104822590322,TRUE,"Confirmed"
"After chewing a fresh mint gum, I feel I can breathe better through my nose","3",-0.238415186090686,FALSE,0.0711524277062884,TRUE,0,FALSE,0.022866877816613,TRUE,"Confirmed"
"After chewing a fresh mint gum, I feel I can breathe better through my nose","4",-0.701195289477793,TRUE,-0.209773533440899,TRUE,-0.337831046055437,TRUE,-0.314238662079047,TRUE,"Confirmed"
"AmmoLa_intensity_transformed","1",NA,FALSE,-0.502818757497399,TRUE,-0.792010228168556,TRUE,-0.734068297833411,TRUE,"Confirmed"
"AmmoLa_intensity_transformed","2",2.15630675915109,TRUE,0.423180827176584,TRUE,0.51129707331233,TRUE,0.576291505155778,TRUE,"Confirmed"
"AmmoLa_intensity_transformed","3",0.538394631183936,FALSE,-0.415583901857949,TRUE,-0.51129707331233,TRUE,-0.474753473368265,TRUE,"Confirmed"
"AmmoLa_intensity_transformed","4",2.07622974940029,TRUE,0.495221832178764,TRUE,0.568394973595908,TRUE,0.632530266045899,TRUE,"Confirmed"
"Burning or pungent odors can cause unpleasant sensations or pain in my face","1",NA,FALSE,-0.53602743807304,TRUE,-0.717583640783304,TRUE,-0.787207951370823,TRUE,"Confirmed"
"Burning or pungent odors can cause unpleasant sensations or pain in my face","2",2.66092002748124,TRUE,0.681874808113207,TRUE,1.16402132681682,TRUE,1.0189545751587,TRUE,"Confirmed"
"Burning or pungent odors can cause unpleasant sensations or pain in my face","3",2.01140397649313,TRUE,0.457745886906079,TRUE,0.717583640783304,TRUE,0.617599760148729,TRUE,"Confirmed"
"Burning or pungent odors can cause unpleasant sensations or pain in my face","4",-0.0018608101719668,FALSE,-0.603593256946245,TRUE,-0.781339214700944,TRUE,-0.849346383936606,TRUE,"Confirmed"
"CO2_threshold_transformed","1",NA,FALSE,0.176610333395745,TRUE,0,FALSE,0.0764219991535412,TRUE,"Rejected"
"CO2_threshold_transformed","2",-2.19988595795865,TRUE,-0.611452517982309,TRUE,-1.26947517780264,TRUE,-1.17593845725413,TRUE,"Rejected"
"CO2_threshold_transformed","3",0.139686243609506,FALSE,0.350007581635067,TRUE,0.191824717976234,TRUE,0.264332048977828,TRUE,"Rejected"
"CO2_threshold_transformed","4",-0.302342555057223,FALSE,0.0848346029514964,TRUE,0,FALSE,0,FALSE,"Rejected"
"Has your eye watering while cutting onions changed in the last 10 years?","1",NA,FALSE,0.0949971428993173,TRUE,0,FALSE,0,FALSE,"Confirmed"
"Has your eye watering while cutting onions changed in the last 10 years?","3",1.01465798221089,TRUE,0.563173962746547,TRUE,0.677162618748708,TRUE,0.680708384015138,TRUE,"Confirmed"
"Has your eye watering while cutting onions changed in the last 10 years?","4",-1.26023465802841,TRUE,-0.633063661601983,TRUE,-0.951686728102291,TRUE,-0.925985691163143,TRUE,"Confirmed"
"How often do you cut fresh onions per month?","1",NA,FALSE,-0.0629296031710501,TRUE,-0.0954910710267091,TRUE,-0.0870005240144493,TRUE,"Confirmed"
"How often do you cut fresh onions per month?","2",0.505691652288692,FALSE,0.0777218960684499,TRUE,0.0954910710267091,TRUE,0.126983353922824,TRUE,"Confirmed"
"How often do you cut fresh onions per month?","3",0.77418688629425,TRUE,0.300933823671341,TRUE,0.37706615732647,TRUE,0.397363966594606,TRUE,"Confirmed"
"How often do you cut fresh onions per month?","4",-0.411193857635305,FALSE,-0.315726116568741,TRUE,-0.470029245179248,TRUE,-0.437346796502981,TRUE,"Confirmed"
"I avoid burning or pungent smells (e.g., ammonia or chlorine)","1",NA,FALSE,-0.639067852793039,TRUE,-1.04600134422891,TRUE,-0.939312337669036,TRUE,"Confirmed"
"I avoid burning or pungent smells (e.g., ammonia or chlorine)","2",2.55383432235103,TRUE,0.507232975246629,TRUE,0.781517514093527,TRUE,0.807346063149119,TRUE,"Confirmed"
"I avoid burning or pungent smells (e.g., ammonia or chlorine)","3",1.7786329965684,TRUE,0.247014167135886,TRUE,0.243168829647233,TRUE,0.313560913992474,TRUE,"Confirmed"
"I avoid burning or pungent smells (e.g., ammonia or chlorine)","4",0.985905344465106,TRUE,-0.115179289589476,TRUE,-0.243168829647233,TRUE,-0.181594639472556,TRUE,"Confirmed"
"I avoid carbonated beverages because they burn my nose (e.g., on burping)","1",NA,FALSE,-0.43694628030202,TRUE,-0.580108595072319,TRUE,-0.683764709807235,TRUE,"Confirmed"
"I avoid carbonated beverages because they burn my nose (e.g., on burping)","2",2.43278909633265,TRUE,0.623423041296508,TRUE,1.09685629812764,TRUE,0.926477279374447,TRUE,"Confirmed"
"I avoid carbonated beverages because they burn my nose (e.g., on burping)","3",1.13040509653442,TRUE,0.0458303119634995,FALSE,0.163386525231543,TRUE,0.0470944247697563,TRUE,"Confirmed"
"I avoid carbonated beverages because they burn my nose (e.g., on burping)","4",0.644125810957006,TRUE,-0.232307072957988,TRUE,-0.163386525231543,TRUE,-0.289806994336968,TRUE,"Confirmed"
"I consciously and intensely perceive carbonation in drinks","1",NA,FALSE,-0.327485345881511,TRUE,-0.495818840032047,TRUE,-0.483442593446013,TRUE,"Confirmed"
"I consciously and intensely perceive carbonation in drinks","2",1.17470371267999,TRUE,0.286213793551669,TRUE,0.30935149771556,TRUE,0.327073070164935,TRUE,"Confirmed"
"I consider my nasal breathing to be very good","1",NA,FALSE,-0.203112030971569,TRUE,-0.270141348653685,TRUE,-0.315186073997074,TRUE,"Confirmed"
"I consider my nasal breathing to be very good","2",1.15121437072228,TRUE,0.26489822613961,TRUE,0.440246514731761,TRUE,0.397507398201208,TRUE,"Confirmed"
"I consider my nasal breathing to be very good","3",0.209178396681525,FALSE,-0.197968574865152,TRUE,-0.188357050800229,TRUE,-0.233981231885753,TRUE,"Confirmed"
"I consider my nasal breathing to be very good","4",0.740675776433048,TRUE,0.136182379697111,TRUE,0.188357050800229,TRUE,0.151659907681619,TRUE,"Confirmed"
"I dislike going to saunas because I perceive hot air in my nose as burning","1",NA,FALSE,-0.343453281413122,TRUE,-0.376001247066453,TRUE,-0.382109951792508,TRUE,"Confirmed"
"I dislike going to saunas because I perceive hot air in my nose as burning","2",2.16462339581685,TRUE,0.581750576796062,TRUE,1.08943370994527,TRUE,1.03228480496963,TRUE,"Confirmed"
"I dislike going to saunas because I perceive hot air in my nose as burning","3",0.666298457424926,TRUE,-0.124226654629927,TRUE,0,FALSE,0,FALSE,"Confirmed"
"I dislike going to saunas because I perceive hot air in my nose as burning","4",0.637594490881581,TRUE,-0.114070640753013,TRUE,0,FALSE,0,FALSE,"Confirmed"
"I only use toothpaste with a very mild mint scent","1",NA,FALSE,-0.414629523300127,TRUE,-0.680376982422691,TRUE,-0.587094939354761,TRUE,"Confirmed"
"I only use toothpaste with a very mild mint scent","2",1.45338784573781,TRUE,0.323938815807939,TRUE,0.347622228714695,TRUE,0.430039098737039,TRUE,"Confirmed"
"I only use toothpaste with a very mild mint scent","3",1.28431676906313,TRUE,0.18172213892752,TRUE,0.189691685357491,TRUE,0.271438995365731,TRUE,"Confirmed"
"I only use toothpaste with a very mild mint scent","4",0.654340261312423,TRUE,-0.0910314314353314,TRUE,-0.189691685357491,TRUE,-0.114383154748009,TRUE,"Confirmed"
"In winter, I find cold air in my nose extremely uncomfortable","1",NA,FALSE,-0.684512273676671,TRUE,-1.16170466565502,TRUE,-0.997237714196406,TRUE,"Confirmed"
"In winter, I find cold air in my nose extremely uncomfortable","2",2.56924285728918,TRUE,0.474812064466518,TRUE,0.661341715585784,TRUE,0.741605293147726,TRUE,"Confirmed"
"In winter, I find cold air in my nose extremely uncomfortable","3",1.34421668629603,TRUE,-0.0376890267399058,FALSE,-0.149945048196253,TRUE,-0.0355528507425034,TRUE,"Confirmed"
"In winter, I find cold air in my nose extremely uncomfortable","4",1.83512452374403,TRUE,0.247389235950059,TRUE,0.149945048196253,TRUE,0.291185271791183,TRUE,"Confirmed"
"Lateralization (x/20)","1",NA,FALSE,0.0169835397919615,FALSE,0.007255185794122,TRUE,0.0129973217003819,TRUE,"Rejected"
"Lateralization (x/20)","4",-0.0711988238792123,FALSE,-0.0195542771097548,FALSE,-0.0286112681100499,TRUE,-0.0293044768147459,TRUE,"Rejected"
"My eyes tear strongly when cutting onions","1",NA,FALSE,-0.373010400889505,TRUE,-0.61195860074152,TRUE,-0.554714425729875,TRUE,"Confirmed"
"My eyes tear strongly when cutting onions","2",1.62359158097686,TRUE,0.4350195642391,TRUE,0.61195860074152,TRUE,0.610181256422559,TRUE,"Confirmed"
"My eyes tear strongly when cutting onions","3",-0.334405065736837,FALSE,-0.647195063356039,TRUE,-0.909356437403971,TRUE,-0.855430773037116,TRUE,"Confirmed"
"My eyes tear strongly when cutting onions","4",1.85116025221971,TRUE,0.585185900006444,TRUE,0.786033812751111,TRUE,0.799963942344432,TRUE,"Confirmed"
"Pungent or burning odors cause me to cough or sneeze","1",NA,FALSE,-0.521801106497341,TRUE,-0.876168841578165,TRUE,-0.763762916955336,TRUE,"Confirmed"
"Pungent or burning odors cause me to cough or sneeze","2",1.47857792602788,TRUE,0.332178174559566,TRUE,0.220456664005197,TRUE,0.329878770144186,TRUE,"Confirmed"
"Pungent or burning odors cause me to cough or sneeze","3",1.03415864660839,TRUE,-0.00208480399421242,FALSE,-0.0683235566275503,TRUE,0,FALSE,"Confirmed"
"Pungent or burning odors cause me to cough or sneeze","4",1.32100028818248,TRUE,0.191707735931987,TRUE,0.0683235566275503,TRUE,0.17748179030339,TRUE,"Confirmed"
"Pungent or burning odors like smoke, vinegar, or nail polish remover elicit strong emotions in me","1",NA,FALSE,-0.458553906839593,TRUE,-0.593724645391377,TRUE,-0.627961619349857,TRUE,"Confirmed"
"Pungent or burning odors like smoke, vinegar, or nail polish remover elicit strong emotions in me","2",2.68582716616716,TRUE,0.653522245516355,TRUE,1.25192182899374,TRUE,1.12099270449731,TRUE,"Confirmed"
"Pungent or burning odors like smoke, vinegar, or nail polish remover elicit strong emotions in me","3",1.00295086267971,TRUE,-0.0488082120878547,FALSE,0.0368630073012985,TRUE,0,FALSE,"Confirmed"
"Pungent or burning odors like smoke, vinegar, or nail polish remover elicit strong emotions in me","4",0.769213363227764,TRUE,-0.146160126588908,TRUE,-0.0368630073012985,TRUE,-0.105445583187052,TRUE,"Confirmed"
"Thinking back over the past six months, how much did your eyes tear when cutting onions?","1",NA,FALSE,-0.35962540191501,TRUE,-0.480628291680265,TRUE,-0.482858568823405,TRUE,"Confirmed"
"Thinking back over the past six months, how much did your eyes tear when cutting onions?","2",1.32052274129652,TRUE,0.313155454650618,TRUE,0.480628291680265,TRUE,0.444966436583011,TRUE,"Confirmed"
"Thinking back over the past six months, how much did your eyes tear when cutting onions?","3",-0.702082076381875,TRUE,-0.747690595806761,TRUE,-1.00129241869937,TRUE,-1.00153097986828,TRUE,"Confirmed"
"Thinking back over the past six months, how much did your eyes tear when cutting onions?","4",2.02683642912329,TRUE,0.794160543071153,TRUE,1.07601526513366,TRUE,1.03942311210867,TRUE,"Confirmed"
"When I eat horseradish, I find the burning in my nose especially bothersome","1",NA,FALSE,-0.690720373057243,TRUE,-1.27714502892891,TRUE,-1.16761928163115,TRUE,"Confirmed"
"When I eat horseradish, I find the burning in my nose especially bothersome","2",2.3199148811808,TRUE,0.388238593184016,TRUE,0.413656282240152,TRUE,0.452716774137375,TRUE,"Confirmed"
"When I eat horseradish, I find the burning in my nose especially bothersome","3",1.76051126666251,TRUE,0.190595617111587,TRUE,0.0205983791238528,TRUE,0.0891421933084342,TRUE,"Confirmed"
"When I eat horseradish, I find the burning in my nose especially bothersome","4",1.54425307473728,TRUE,0.11188616276164,TRUE,-0.0205983791238528,TRUE,0,FALSE,"Confirmed"
"When I smell something biting or pungent, I panic, remembering similar situations","1",NA,FALSE,-0.422104042389814,TRUE,-0.412136253466947,TRUE,-0.549712812193217,TRUE,"Confirmed"
"When I smell something biting or pungent, I panic, remembering similar situations","2",2.46062315439175,TRUE,0.848399458266772,TRUE,1.35761514367711,TRUE,1.18639964984177,TRUE,"Confirmed"
"When I smell something biting or pungent, I panic, remembering similar situations","3",1.17908120051382,TRUE,0.220360393160833,TRUE,0.412136253466947,TRUE,0.28440764645273,TRUE,"Confirmed"
"When I smell something biting or pungent, I panic, remembering similar situations","4",-0.505773076374448,FALSE,-0.646655809037791,TRUE,-0.824117110193846,TRUE,-0.921094484101285,TRUE,"Confirmed"
"When it comes to slightly tingling or pungent odors, my nose is much more sensitive than others'","1",NA,FALSE,-0.628484491449441,TRUE,-1.07603479734551,TRUE,-0.989669597888837,TRUE,"Confirmed"
"When it comes to slightly tingling or pungent odors, my nose is much more sensitive than others'","2",2.34016838250483,TRUE,0.414748887525008,TRUE,0.526092491737871,TRUE,0.546508179043149,TRUE,"Confirmed"
"When it comes to slightly tingling or pungent odors, my nose is much more sensitive than others'","3",1.57580858561753,TRUE,0.152316046428295,TRUE,0.0183220095123258,TRUE,0.0826661483533822,TRUE,"Confirmed"
"When it comes to slightly tingling or pungent odors, my nose is much more sensitive than others'","4",1.31049891249746,TRUE,0.0614195574961384,TRUE,-0.0183220095123258,TRUE,0,FALSE,"Confirmed"
